title,author,isbn
The Hunger Games,Suzanne Collins,9780439023481
Harry Potter and the Order of the Phoenix,"J.K. Rowling, Mary GrandPré (Illustrator)",9780439358071
To Kill a Mockingbird,Harper Lee,9999999999999
Pride and Prejudice,"Jane Austen, Anna Quindlen (Introduction)",9999999999999
Twilight,Stephenie Meyer,9780316015844
The Book Thief,Markus Zusak (Goodreads Author),9780375831003
Animal Farm,"George Orwell, Russell Baker (Preface), C.M. Woodhouse (Introduction)",9780451526342
The Chronicles of Narnia,"C.S. Lewis, Pauline Baynes (Illustrator)",9999999999999
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,9780345538376
Gone with the Wind,Margaret Mitchell,9780446675536
The Fault in Our Stars,John Green (Goodreads Author),9999999999999
The Hitchhiker's Guide to the Galaxy,Douglas Adams,9999999999999
The Giving Tree,Shel Silverstein,9780060256654
Wuthering Heights,"Emily Brontë, Richard J. Dunn (Editor), David Timson (Narrator), Charlotte Brontë (Commentary), Robert Heindel (Illustrator)",9780393978896
The Da Vinci Code,Dan Brown (Goodreads Author),9999999999999
Memoirs of a Geisha,Arthur Golden,9781400096893
The Picture of Dorian Gray,"Oscar Wilde, Jeffrey Eugenides (Introduction)",9999999999999
Alice's Adventures in Wonderland & Through the Looking-Glass,"Lewis Carroll, John Tenniel (Illustrator), Martin Gardner (Introduction)",9780451527745
Jane Eyre,"Charlotte Brontë, Michael Mason (Editor), Barnett Freedman (Illustrator)",9780142437209
Les Misérables,"Victor Hugo, Lee Fahnestock (Translator), Norman MacAfee (Translator)",9999999999999
Fahrenheit 451,Ray Bradbury,B0064CPN7I
Divergent,Veronica Roth (Goodreads Author),9780062024039
Lord of the Flies,William Golding,9780140283334
Romeo and Juliet,"William Shakespeare, Paul Werstine (Editor), Barbara A. Mowat (Editor), Paavo Emil Cajander (Translator)",9780743477116
The Alchemist,"Paulo Coelho (Goodreads Author), Alan R. Clarke (Translator), James Noel Smith (Illustrator)",9780062315007
Crime and Punishment,"Fyodor Dostoyevsky, David McDuff (Translator)",9780143058144
The Perks of Being a Wallflower,Stephen Chbosky,9999999999999
The Great Gatsby,"F. Scott Fitzgerald, Francis Scott Fitzgerald",9999999999999
City of Bones,Cassandra Clare (Goodreads Author),9781416914280
Ender's Game,"Orson Scott Card, Stefan Rudnicki (Narrator), Harlan Ellison (Narrator)",9780812550702
The Help,Kathryn Stockett (Goodreads Author),9999999999999
Anne of Green Gables,L.M. Montgomery,9780451528827
Harry Potter and the Sorcerer's Stone,"J.K. Rowling, Mary GrandPré (Illustrator)",9999999999999
The Little Prince,"Antoine de Saint-Exupéry, Richard Howard (Translator), Ivan Minatti (Translator), Nguyễn Thành Vũ (Illustrator)",9999999999999
Charlotte's Web,"E.B. White, Garth Williams (Illustrator), Rosemary Wells (Illustrations)",9780064410939
Of Mice and Men,John Steinbeck,9780142000670
The Time Traveler's Wife,Audrey Niffenegger (Goodreads Author),9781939126016
Dracula,"Bram Stoker, Nina Auerbach (Editor), David J. Skal (Editor)",9780393970128
Brave New World,Aldous Huxley,9780060929879
One Hundred Years of Solitude,"Gabriel García Márquez, Gregory Rabassa (Translator)",9999999999999
The Catcher in the Rye,J.D. Salinger,9780316769174
The Princess Bride,William Goldman,9780345418265
The Lightning Thief,Rick Riordan (Goodreads Author),9780786838653
The Secret Garden,Frances Hodgson Burnett,9780517189603
A Thousand Splendid Suns,Khaled Hosseini (Goodreads Author),9781594489501
A Wrinkle in Time,Madeleine L'Engle,9781250153272
A Game of Thrones,George R.R. Martin,9780553588484
The Adventures of Huckleberry Finn,"Mark Twain, Guy Cardwell (Notes), John Seelye (Introduction), Walter Trier (Ilustrator)",9780142437179
The Lovely Bones,Alice Sebold,9780316166683
The Outsiders,S.E. Hinton (Goodreads Author),9999999999999
Where the Wild Things Are,Maurice Sendak,9780099408390
Green Eggs and Ham,Dr. Seuss,9780394800165
The Odyssey,"Homer, Robert Fagles (Translator), Bernard Knox (Introduction)",9780143039952
Life of Pi,Yann Martel,9780770430078
A Tale of Two Cities,"Charles Dickens, Richard Maxwell (Editor/Introduction)",9780141439600
Water for Elephants,Sara Gruen (Goodreads Author),9781565125605
Lolita,"Vladimir Nabokov, Craig Raine (Afterword)",B00IIAQY3Q
Slaughterhouse-Five,Kurt Vonnegut Jr.,9780385333849
Frankenstein: The 1818 Text,"Mary Wollstonecraft Shelley, Charlotte Gordon (Goodreads Author) (Introduction)",9780143131847
The Kite Runner,"Khaled Hosseini (Goodreads Author), Berliani M. Nugrahani (Translator)",9999999999999
The Handmaid's Tale,Margaret Atwood (Goodreads Author),9999999999999
The Giver,Lois Lowry (Goodreads Author),9780385732550
Catch-22,Joseph Heller,9780684833392
Dune,Frank Herbert,9780593099322
The Pillars of the Earth,Ken Follett (Goodreads Author),9999999999999
The Stand,"Stephen King (Goodreads Author), Bernie Wrightson (Illustrator)",9780385199575
The Adventures of Sherlock Holmes,Arthur Conan Doyle,9999999999999
Watership Down,Richard Adams,9780380395866
Great Expectations,"Charles Dickens, Παυλίνα Παμπούδη (Translator), Marisa Sestino (Translator)",9780192833594
Little Women,Louisa May Alcott,9780451529305
The Bell Jar,Sylvia Plath,9999999999999
Harry Potter and the Deathly Hallows,J.K. Rowling,9780545010221
One Flew Over the Cuckoo's Nest,Ken Kesey,9999999999999
Anna Karenina,"Leo Tolstoy, Aylmer Maude (Translator), Lev Tolstoi, Louise Maude (Translator), George Gibian (Preface)",9999999999999
Outlander,Diana Gabaldon (Goodreads Author),9780440242949
My Sister's Keeper,Jodi Picoult (Goodreads Author),9780743454537
Matilda,"Roald Dahl, Quentin Blake (Illustrator)",9780141301068
The Fellowship of the Ring,J.R.R. Tolkien,9780345015339
The Girl with the Dragon Tattoo,"Stieg Larsson, Reg Keeland (Translator)",9999999999999
Rebecca,Daphne du Maurier,9780316323703
1984,George Orwell,B003JTHWKU
The Color Purple,Alice Walker,9780143135692
A Tree Grows in Brooklyn,Betty Smith,9780061120077
A Clockwork Orange,Anthony Burgess,9780393341768
The Road,Cormac McCarthy,9780307265432
The Brothers Karamazov,"Fyodor Dostoyevsky, Fyodor Dostoyevsky, Richard Pevear (Translator), Larissa Volokhonsky (Translator)",9780374528379
Angela's Ashes,Frank McCourt,9780007205233
Vampire Academy,Richelle Mead (Goodreads Author),9781595141743
Siddhartha,"Hermann Hesse, Hilda Rosner (Translator)",9999999999999
The Poisonwood Bible,Barbara Kingsolver,9780060786502
The Golden Compass,Philip Pullman,9780679879244
Don Quixote,"Miguel de Cervantes Saavedra, John Rutherford (Translator), Roberto González Echevarría (Introduction)",9780142437230
Atlas Shrugged,"Ayn Rand, Leonard Peikoff (Goodreads Author) (Introduction)",9780452011878
Harry Potter and the Prisoner of Azkaban,"J.K. Rowling, Mary GrandPré (Illustrator)",9780439655484
The Old Man and the Sea,Ernest Hemingway,9780684830490
The Notebook,Nicholas Sparks (Goodreads Author),B000Q67J66
Winnie-the-Pooh,"A.A. Milne, Ernest H. Shepard (Illustrator)",9780525467564
The Complete Stories and Poems,Edgar Allan Poe,9780385074070
Interview with the Vampire,Anne Rice,9780345476876
A Prayer for Owen Meany,John Irving (Goodreads Author),9780552135399
"Moby-Dick or, the Whale","Herman Melville, Andrew Delbanco (Introduction), Tom Quirk (Notes), Rockwell Kent (Illustrator)",9780142437247
The Red Tent,Anita Diamant (Goodreads Author),9780312353766
The Secret Life of Bees,Sue Monk Kidd (Goodreads Author),9780142001745
Harry Potter and the Goblet of Fire,"J.K. Rowling, Mary GrandPré (Illustrator)",9999999999999
Clockwork Angel,"Cassandra Clare (Goodreads Author), Rita Sussekind (Translator)",9781416975861
Harry Potter and the Half-Blood Prince,J.K. Rowling,9999999999999
And Then There Were None,Agatha Christie,9780312330873
Middlesex,Jeffrey Eugenides,9780312422158
The Stranger,"Albert Camus, Matthew Ward (Translator)",9999999999999
The Master and Margarita,"Mikhail Bulgakov, Katherine Tiernan O'Connor (Translator), Ellendea Proffer (Annotations and Afterword), Diana Lewis Burgin (Translator)",9780679760801
The Name of the Wind,Patrick Rothfuss (Goodreads Author),9780756404079
The Shining,Stephen King (Goodreads Author),9780450040184
The Adventures of Tom Sawyer,"Mark Twain, Guy Cardwell (Annotations), John Seelye (Introduction)",9780143039563
Eragon,Christopher Paolini (Goodreads Author),9780375826696
Charlie and the Chocolate Factory,"Roald Dahl, Quentin Blake (Illustrations)",9780142403884
Flowers for Algernon,Daniel Keyes,9999999999999
On the Road,Jack Kerouac,9780140042597
The Metamorphosis,"Franz Kafka, Stanley Corngold (Translator), Mircea Ivănescu (Translator)",9999999999999
Looking for Alaska,John Green (Goodreads Author),9999999999999
The Shadow of the Wind,"Carlos Ruiz Zafón, Lucia Graves (Translator)",9999999999999
The Curious Incident of the Dog in the Night-Time,Mark Haddon,9781400032716
The Very Hungry Caterpillar,Eric Carle,9780241003008
Tuesdays with Morrie,Mitch Albom (Goodreads Author),9780751529814
The Unbearable Lightness of Being,"Milan Kundera, Michael Henry Heim (Translator)",9780571224388
The Name of the Rose,"Umberto Eco, William Weaver (Translator)",9780156001311
Where the Red Fern Grows,Wilson Rawls,9780375806810
Harry Potter and the Chamber of Secrets,"J.K. Rowling, Mary GrandPré (Illustrator)",9780439064866
The Godfather,"Mario Puzo, Robert Thompson (Introduction), Peter Bart (Afterword)",9999999999999
The Scarlet Letter,"Nathaniel Hawthorne, Thomas E. Connolly (Annotations), Nina Baym (Introduction)",9780142437261
In Cold Blood,Truman Capote,9780679745587
Fight Club,Chuck Palahniuk (Goodreads Author),9780393355949
The Five People You Meet in Heaven,Mitch Albom (Goodreads Author),9781401308582
"Hush, Hush",Becca Fitzpatrick (Goodreads Author),9781416989417
The Cat in the Hat,Dr. Seuss,9780394800011
American Gods,Neil Gaiman (Goodreads Author),9999999999999
The Count of Monte Cristo,"Alexandre Dumas, Robin Buss (Translator)",9780140449266
Lonesome Dove,Larry McMurtry,9780671683900
Perfume: The Story of a Murderer,"Patrick Süskind, John E. Woods (Translator)",9780140120837
Holes,Louis Sachar (Goodreads Author),9780439244190
"The Lion, the Witch and the Wardrobe",C.S. Lewis,9999999999999
Watchmen,"Alan Moore (Goodreads Author), Dave Gibbons (Illustrator/Letterer), John Higgins (Colorist)",9780930289232
It,Stephen King (Goodreads Author),9780450411434
The Last Olympian,Rick Riordan (Goodreads Author),9781423101475
The Little House Collection,"Laura Ingalls Wilder, Garth Williams (Illustrator)",9780060529963
The Divine Comedy,"Dante Alighieri, Allen Mandelbaum (Translator), Eugenio Montale (Introduction)",9780679433132
Peter Pan,"J.M. Barrie, Michael Hague (Illustrator)",9780805072457
All Quiet on the Western Front,"Erich Maria Remarque, Arthur Wesley Wheen (Translator)",9780449213940
"The Hobbit, or There and Back Again",J.R.R. Tolkien,9780618260300
The Compleat Works of Wllm Shkspr (abridged),"Reduced Shakespeare Company, Adam Long (Contributor), Daniel Singer (Contributor), Jess Winfield (Editor)",9781557831576
Love in the Time of Cholera,"Gabriel García Márquez, Edith Grossman (Translator)",9781400034680
